Cry	Type	Domain	Length	ID_pair	ID_NOV	NOM_group	Species
BT_Cry10Aa4	all	domain1	621	51.0782836235042	100	BT	Bacillus thuringiensis
BT_Cry11Aa1	all	domain1	546	50.6521793686131	100	BT	Bacillus thuringiensis
BT_Cry11Ba1	all	domain1	537	50.1359046774225	100	BT	Bacillus thuringiensis
BT_Cry11Bb1	all	domain1	522	49.839125310929	100	BT	Bacillus thuringiensis
BT_Cry12Aa1	all	domain1	594	50.7978194854599	100	BT	Bacillus thuringiensis
BT_Cry13Aa1	all	domain1	651	49.9557939930146	100	BT	Bacillus thuringiensis
BT_Cry14Aa1	all	domain1	672	50.0433740578514	100	BT	Bacillus thuringiensis
BT_Cry14Ab1	all	domain1	672	49.9723118553949	100	BT	Bacillus thuringiensis
BT_Cry16Aa1	all	domain1	597	51.3427943737121	100	BT	Paraclostridium bifermentans
BT_Cry17Aa1	all	domain1	606	51.0041242126809	100	BT	Paraclostridium bifermentans
BT_Cry18Aa1	all	domain1	570	50.8293443626321	100	BT	Paenibacillus popilliae
BT_Cry18Ba1	all	domain1	570	50.9648656759164	100	BT	Paenibacillus popilliae
BT_Cry18Ca1	all	domain1	576	50.8405825284544	100	BT	Paenibacillus popilliae
BT_Cry19Aa1	all	domain1	609	52.7973783103516	100	BT	Bacillus thuringiensis
BT_Cry19Ba1	all	domain1	594	52.2040181156674	100	BT	Bacillus thuringiensis
BT_Cry19Ca1	all	domain1	591	51.9570010994986	100	BT	Bacillus thuringiensis
BT_Cry1A-like	all	domain1	366	45.7684217950134	100	BT	Bacillus thuringiensis
BT_Cry1Aa1	all	domain1	603	57.3813247419492	100	BT	Bacillus thuringiensis
BT_Cry1Aa10	all	domain1	603	57.4785711232112	100	BT	Bacillus thuringiensis
BT_Cry1Aa14	all	domain1	603	57.4718320017054	100	BT	Bacillus thuringiensis
BT_Cry1Aa15	all	domain1	603	57.4718320017054	100	BT	Bacillus thuringiensis
BT_Cry1Aa17	all	domain1	603	57.4718320017054	100	BT	Bacillus thuringiensis
BT_Cry1Aa2	all	domain1	603	57.4741781657354	100	BT	Bacillus thuringiensis
BT_Cry1Aa20	all	domain1	603	57.4741781657354	100	BT	Bacillus thuringiensis
BT_Cry1Aa21	all	domain1	603	57.5117772469638	100	BT	Bacillus thuringiensis
BT_Cry1Aa24	all	domain1	603	57.3890789020691	100	BT	Bacillus thuringiensis
BT_Cry1Aa7	all	domain1	603	57.4718320017054	100	BT	Bacillus thuringiensis
BT_Cry1Ab12	all	domain1	603	57.6972353510596	100	BT	Bacillus thuringiensis
BT_Cry1Ab16	all	domain1	603	57.4036497723431	100	BT	Bacillus thuringiensis
BT_Cry1Ab17	all	domain1	603	57.5972386494016	100	BT	Bacillus thuringiensis
BT_Cry1Ab18	all	domain1	603	57.7062926841511	100	BT	Bacillus thuringiensis
BT_Cry1Ab19	all	domain1	603	57.6972353510596	100	BT	Bacillus thuringiensis
BT_Cry1Ab2	all	domain1	603	57.6433213767205	100	BT	Bacillus thuringiensis
BT_Cry1Ab21	all	domain1	603	57.6972353510596	100	BT	Bacillus thuringiensis
BT_Cry1Ab22	all	domain1	603	57.6119504075947	100	BT	Bacillus thuringiensis
BT_Cry1Ab24	all	domain1	603	57.7062926841511	100	BT	Bacillus thuringiensis
BT_Cry1Ab26	all	domain1	603	57.6293674661132	100	BT	Bacillus thuringiensis
BT_Cry1Ab27	all	domain1	603	57.6972353510596	100	BT	Bacillus thuringiensis
BT_Cry1Ab30	all	domain1	603	57.6972353510596	100	BT	Bacillus thuringiensis
BT_Cry1Ab31	all	domain1	603	57.6972353510596	100	BT	Bacillus thuringiensis
BT_Cry1Ab32	all	domain1	603	57.6972353510596	100	BT	Bacillus thuringiensis
BT_Cry1Ab33	all	domain1	603	57.6370294763134	100	BT	Bacillus thuringiensis
BT_Cry1Ab34	all	domain1	603	56.37144782364	100	BT	Bacillus thuringiensis
BT_Cry1Ab6	all	domain1	603	57.6972353510596	100	BT	Bacillus thuringiensis
BT_Cry1Ab7	all	domain1	603	57.6553227072871	100	BT	Bacillus thuringiensis
BT_Cry1Ab8	all	domain1	603	57.6972353510596	100	BT	Bacillus thuringiensis
BT_Cry1Ac12	all	domain1	603	57.6942812010308	100	BT	Bacillus thuringiensis
BT_Cry1Ac13	all	domain1	603	57.6942812010308	100	BT	Bacillus thuringiensis
BT_Cry1Ac15	all	domain1	603	57.6962942590615	100	BT	Bacillus thuringiensis
