ID,Type,Mode,Same_flag,Recs,Rec_hosts,Mins,Min_hots,Majs,Maj_hosts
2,domain3,Strains_add,Different,BT_Cry1Dc1 (JC291),Helicoverpa armigera (Lepidoptera),BT_Cry1Ab1,Acyrthosiphon pisum (Hemiptera),BT_Cry1Da1,Anticarsia gemmatalis (Lepidoptera)
,,,,,Ostrinia furnacalis (Lepidoptera),,Aedes aegypti (Diptera),,Bombyx mori (Lepidoptera)
,,,,,,,Anticarsia gemmatalis (Lepidoptera),,Cacyreus marshalli (Lepidoptera)
,,,,,,,Argyrotaenia citrana (Lepidoptera),,Choristoneura fumiferana (Lepidoptera)
,,,,,,,Bombyx mori (Lepidoptera),,Conopomorpha cramerella (Lepidoptera)
,,,,,,,Busseola fusca (Lepidoptera),,Cydia pomonella (Lepidoptera)
,,,,,,,Cacyreus marshalli (Lepidoptera),,Earias insulana (Lepidoptera)
,,,,,,,Chilo partellus (Lepidoptera),,Helicoverpa armigera (Lepidoptera)
,,,,,,,Chilo suppressalis (Lepidoptera),,Lambdina fiscellaria (Lepidoptera)
,,,,,,,Choristoneura fumiferana (Lepidoptera),,Lymantria dispar (Lepidoptera)
,,,,,,,Choristoneura occidentalis (Lepidoptera),,Malacosoma disstria (Lepidoptera)
,,,,,,,Choristoneura pinus (Lepidoptera),,Manduca sexta (Lepidoptera)
,,,,,,,Choristoneura pinus pinus (Lepidoptera),,Orgyia leucostigma (Lepidoptera)
,,,,,,,Choristoneura rosaceana (Lepidoptera),,Pectinophora gossypiella (Lepidoptera)
,,,,,,,Chrysodeixis includens (Lepidoptera),,Sesamia inferens (Lepidoptera)
,,,,,,,Cnaphalocrocis medinalis (Lepidoptera),,Spodoptera exigua (Lepidoptera)
,,,,,,,Conogethes punctiferalis (Lepidoptera),,Spodoptera frugiperda (Lepidoptera)
,,,,,,,Conopomorpha cramerella (Lepidoptera),,Spodoptera littoralis (Lepidoptera)
,,,,,,,Cydia pomonella (Lepidoptera),,Spodoptera litura (Lepidoptera)
,,,,,,,Danaus plexippus (Lepidoptera),,
,,,,,,,Diaphorina citri (Hemiptera),,
,,,,,,,Diatraea grandiosella (Lepidoptera),,
,,,,,,,Diatraea saccharalis (Lepidoptera),,
,,,,,,,Earias insulana (Lepidoptera),,
,,,,,,,Earias vitella (Lepidoptera),,
,,,,,,,Elasmopalpus lignosellus (Lepidoptera),,
,,,,,,,Eldana saccharina (Lepidoptera),,
,,,,,,,Ephestia kuehniella (Lepidoptera),,
,,,,,,,Epinotia aporema (Lepidoptera),,
,,,,,,,Helicoverpa armigera (Lepidoptera),,
,,,,,,,Helicoverpa punctigera (Lepidoptera),,
,,,,,,,Helicoverpa zea (Lepidoptera),,
,,,,,,,Heliothis virescens (Lepidoptera),,
,,,,,,,Hyphantria cunea (Lepidoptera),,
,,,,,,,Lobesia botrana (Lepidoptera),,
,,,,,,,Lymantria dispar (Lepidoptera),,
,,,,,,,Malacosoma disstria (Lepidoptera),,
,,,,,,,Mamestra brassicae (Lepidoptera),,
,,,,,,,Mamestra configurata (Lepidoptera),,
,,,,,,,Manduca sexta (Lepidoptera),,
,,,,,,,Marasmia patnalis (Lepidoptera),,
,,,,,,,Maruca vitrata (Lepidoptera),,
,,,,,,,Mythimna separata (Lepidoptera),,
,,,,,,,Nilaparvata lugens (Hemiptera),,
,,,,,,,Orgyia leucostigma (Lepidoptera),,
,,,,,,,Ostrinia furnacalis (Lepidoptera),,
,,,,,,,Ostrinia nubilalis (Lepidoptera),,
,,,,,,,Pandemis pyrusana (Lepidoptera),,
,,,,,,,Pectinophora gossypiella (Lepidoptera),,
,,,,,,,Pieris brassicae (Lepidoptera),,
,,,,,,,Platynota stultana (Lepidoptera),,
,,,,,,,Plodia interpunctella (Lepidoptera),,
,,,,,,,Plutella xylostella (Lepidoptera),,
,,,,,,,Scirpophaga incertulas (Lepidoptera),,
,,,,,,,Sesamia inferens (Lepidoptera),,
,,,,,,,Spodoptera exigua (Lepidoptera),,
,,,,,,,Spodoptera frugiperda (Lepidoptera),,
,,,,,,,Spodoptera litura (Lepidoptera),,
,,,,,,,Thaumetopoea pityocampa (Lepidoptera),,
,,,,,,,Trichoplusia ni (Lepidoptera),,
,,,,,,BT_Cry1Ab2,Acyrthosiphon pisum (Hemiptera),,
,,,,,,,Aedes aegypti (Diptera),,
,,,,,,,Anticarsia gemmatalis (Lepidoptera),,
,,,,,,,Argyrotaenia citrana (Lepidoptera),,
,,,,,,,Bombyx mori (Lepidoptera),,
,,,,,,,Busseola fusca (Lepidoptera),,
,,,,,,,Cacyreus marshalli (Lepidoptera),,
,,,,,,,Chilo partellus (Lepidoptera),,
,,,,,,,Chilo suppressalis (Lepidoptera),,
,,,,,,,Choristoneura fumiferana (Lepidoptera),,
,,,,,,,Choristoneura occidentalis (Lepidoptera),,
,,,,,,,Choristoneura pinus (Lepidoptera),,
,,,,,,,Choristoneura pinus pinus (Lepidoptera),,
,,,,,,,Choristoneura rosaceana (Lepidoptera),,
,,,,,,,Chrysodeixis includens (Lepidoptera),,
,,,,,,,Cnaphalocrocis medinalis (Lepidoptera),,
,,,,,,,Conogethes punctiferalis (Lepidoptera),,
,,,,,,,Conopomorpha cramerella (Lepidoptera),,
,,,,,,,Cydia pomonella (Lepidoptera),,
