ID,Rec,Min_par,Maj_par,Unknown_flag,Type,parent_1,parent_2,parent_3
22,BT_Cry8Pa1,NOV_Cry8Ba1_88.6_AEP25412.1,BT_Cry8Ba1,major,domain2,event_74(BT_Cry8Ea2;BT_Cry8Ja1),NOV_Cry8Ba1_88.6_AEP25412.1,event_74(unknown)
74,BT_Cry8Pa1,BT_Cry1Na1;BT_Cry1Nb1,BT_Cry8Ea2,minor,domain3,BT_Cry8Ea2;BT_Cry8Ja1,event_22(NOV_Cry8Ba1_88.6_AEP25412.1),unknown
37,BT_Cry52Ca1,BT_Cry40Aa1,NOV_Cry52Ca1_62.9_AZJ24464.1,no,domain3,BT_Cry52Aa1;BT_Cry52Ba1;NOV_Cry52Ca1_62.9_AZJ24464.1,event_107(NOV_Cry52Ca1_62.9_AZJ24464.1),BT_Cry40Aa1
107,BT_Cry52Ca1,NOV_Cry52Ca1_62.9_AZJ24464.1,BT_Cry52Aa1;BT_Cry52Ba1,major,domain2,event_37(BT_Cry52Aa1;BT_Cry52Ba1;NOV_Cry52Ca1_62.9_AZJ24464.1),NOV_Cry52Ca1_62.9_AZJ24464.1,event_37(BT_Cry40Aa1)
45,NOV_Cry40Da1_65.0_CAH33957.1,NOV_Cry40Da1_66.9_PER55269.1,BT_Cry40Da1;NOV_Cry40Da1_81.5_AIN76756.1,no,domain1,NOV_Cry40Da1_66.9_PER55269.1,BT_Cry40Da1;NOV_Cry40Da1_77.3_ARJ25823.1;NOV_Cry40Da1_81.5_AIN76756.1,event_103(unknown)
103,NOV_Cry40Da1_65.0_CAH33957.1,NOV_Cry40Da1_66.9_PER55269.1,BT_Cry40Da1;NOV_Cry40Da1_81.5_AIN76756.1,minor,domain3,event_45(NOV_Cry40Da1_66.9_PER55269.1),event_45(BT_Cry40Da1;NOV_Cry40Da1_77.3_ARJ25823.1;NOV_Cry40Da1_81.5_AIN76756.1),unknown
,,,,,,,,
,,,,,,,,
22+74,Rec,Parent1,Parent2,Parent3,,,,
,BT_Cry8Pa1,BT_Cry8Ea2;BT_Cry8Ja1,NOV_Cry8Ba1_88.6_AEP25412.1,unknown,,,,
37+107,Rec,Parent12,Parent3,Parent1,,,,
,BT_Cry52Ca1,NOV_Cry52Ca1_62.9_AZJ24464.1,BT_Cry40Aa1,BT_Cry52Aa1;BT_Cry52Ba1,,,,
45+103,Rec,Parent1,Parent2,Parent3,,,,
,NOV_Cry40Da1_65.0_CAH33957.1,NOV_Cry40Da1_66.9_PER55269.1,BT_Cry40Da1;NOV_Cry40Da1_77.3_ARJ25823.1;NOV_Cry40Da1_81.5_AIN76756.1,unknown,,,,
