ID,Rec_domain,Current_domain,Tox_type,Model,Coord,Site_prob,Site_type
0,domain3,domain1,Rec,m3,100,0.95,relaxed
0,domain3,domain1,Par,mB,0.495049504950495,0.95,cons
0,domain3,domain1,Par,mB,1.98019801980198,0.95,cons
0,domain3,domain1,Par,mB,2.97029702970297,0.95,cons
0,domain3,domain1,Par,mB,3.96039603960396,0.95,cons
0,domain3,domain1,Par,mB,4.95049504950495,0.95,cons
0,domain3,domain1,Par,mB,9.40594059405941,0.95,cons
0,domain3,domain1,Par,mB,11.8811881188119,0.95,cons
0,domain3,domain1,Par,mB,13.3663366336634,0.95,cons
0,domain3,domain1,Par,mB,14.8514851485149,0.95,cons
0,domain3,domain1,Par,mB,15.8415841584158,0.95,cons
0,domain3,domain1,Par,mB,16.3366336633663,0.95,cons
0,domain3,domain1,Par,mB,18.3168316831683,0.95,cons
0,domain3,domain1,Par,mB,19.3069306930693,0.95,cons
0,domain3,domain1,Par,mB,19.8019801980198,0.95,cons
0,domain3,domain1,Par,mB,24.7524752475248,0.95,cons
0,domain3,domain1,Par,mB,27.2277227722772,0.95,cons
0,domain3,domain1,Par,mB,28.2178217821782,0.95,cons
0,domain3,domain1,Par,mB,31.1881188118812,0.95,cons
0,domain3,domain1,Par,mB,33.1683168316832,0.95,cons
0,domain3,domain1,Par,mB,35.6435643564356,0.95,cons
0,domain3,domain1,Par,mB,38.6138613861386,0.95,cons
0,domain3,domain1,Par,mB,41.0891089108911,0.95,cons
0,domain3,domain1,Par,mB,46.5346534653465,0.95,cons
0,domain3,domain1,Par,mB,49.009900990099,0.95,cons
0,domain3,domain1,Par,mB,49.5049504950495,0.95,cons
0,domain3,domain1,Par,mB,52.970297029703,0.95,cons
0,domain3,domain1,Par,mB,53.4653465346535,0.95,cons
0,domain3,domain1,Par,mB,55.9405940594059,0.95,cons
0,domain3,domain1,Par,mB,57.9207920792079,0.95,cons
0,domain3,domain1,Par,mB,58.4158415841584,0.95,cons
0,domain3,domain1,Par,mB,59.9009900990099,0.95,cons
0,domain3,domain1,Par,mB,62.8712871287129,0.95,cons
0,domain3,domain1,Par,mB,64.3564356435644,0.95,cons
0,domain3,domain1,Par,mB,64.8514851485149,0.95,cons
0,domain3,domain1,Par,mB,66.3366336633663,0.95,cons
0,domain3,domain1,Par,mB,67.3267326732673,0.95,cons
0,domain3,domain1,Par,mB,70.2970297029703,0.95,cons
0,domain3,domain1,Par,mB,72.2772277227723,0.95,cons
0,domain3,domain1,Par,mB,73.2673267326733,0.95,cons
0,domain3,domain1,Par,mB,76.2376237623762,0.95,cons
0,domain3,domain1,Par,mB,77.2277227722772,0.95,cons
0,domain3,domain1,Par,mB,77.7227722772277,0.95,cons
0,domain3,domain1,Par,mB,79.2079207920792,0.95,cons
0,domain3,domain1,Par,mB,81.1881188118812,0.95,cons
0,domain3,domain1,Par,mB,82.1782178217822,0.95,cons
0,domain3,domain1,Par,mB,85.1485148514852,0.95,cons
0,domain3,domain1,Par,mB,87.1287128712871,0.95,cons
0,domain3,domain1,Par,mB,90.0990099009901,0.95,cons
0,domain3,domain1,Par,mB,92.5742574257426,0.95,cons
0,domain3,domain1,Par,mB,93.0693069306931,0.95,cons
0,domain3,domain1,Par,mB,93.5643564356436,0.95,cons
0,domain3,domain1,Par,mB,96.5346534653465,0.95,cons
0,domain3,domain1,Par,mB,99.009900990099,0.95,cons
0,domain3,domain1,Rec,mB,0.495049504950495,0.95,cons
0,domain3,domain1,Rec,mB,1.98019801980198,0.95,cons
0,domain3,domain1,Rec,mB,2.97029702970297,0.95,cons
0,domain3,domain1,Rec,mB,3.96039603960396,0.95,cons
0,domain3,domain1,Rec,mB,4.95049504950495,0.95,cons
0,domain3,domain1,Rec,mB,9.40594059405941,0.95,cons
0,domain3,domain1,Rec,mB,11.8811881188119,0.95,cons
0,domain3,domain1,Rec,mB,13.3663366336634,0.95,cons
0,domain3,domain1,Rec,mB,14.8514851485149,0.95,cons
0,domain3,domain1,Rec,mB,15.8415841584158,0.95,cons
0,domain3,domain1,Rec,mB,16.3366336633663,0.95,cons
0,domain3,domain1,Rec,mB,18.3168316831683,0.95,cons
0,domain3,domain1,Rec,mB,19.3069306930693,0.95,cons
0,domain3,domain1,Rec,mB,19.8019801980198,0.95,cons
0,domain3,domain1,Rec,mB,24.7524752475248,0.95,cons
0,domain3,domain1,Rec,mB,27.2277227722772,0.95,cons
0,domain3,domain1,Rec,mB,28.2178217821782,0.95,cons
0,domain3,domain1,Rec,mB,31.1881188118812,0.95,cons
0,domain3,domain1,Rec,mB,33.1683168316832,0.95,cons
0,domain3,domain1,Rec,mB,35.6435643564356,0.95,cons
0,domain3,domain1,Rec,mB,38.6138613861386,0.95,cons
0,domain3,domain1,Rec,mB,41.0891089108911,0.95,cons
0,domain3,domain1,Rec,mB,46.5346534653465,0.95,cons
0,domain3,domain1,Rec,mB,49.009900990099,0.95,cons
0,domain3,domain1,Rec,mB,49.5049504950495,0.95,cons
0,domain3,domain1,Rec,mB,52.970297029703,0.95,cons
0,domain3,domain1,Rec,mB,53.4653465346535,0.95,cons
0,domain3,domain1,Rec,mB,55.9405940594059,0.95,cons
0,domain3,domain1,Rec,mB,57.9207920792079,0.95,cons
0,domain3,domain1,Rec,mB,58.4158415841584,0.95,cons
0,domain3,domain1,Rec,mB,59.9009900990099,0.95,cons
0,domain3,domain1,Rec,mB,62.8712871287129,0.95,cons
0,domain3,domain1,Rec,mB,64.3564356435644,0.95,cons
0,domain3,domain1,Rec,mB,64.8514851485149,0.95,cons
0,domain3,domain1,Rec,mB,66.3366336633663,0.95,cons
0,domain3,domain1,Rec,mB,67.3267326732673,0.95,cons
0,domain3,domain1,Rec,mB,70.2970297029703,0.95,cons
0,domain3,domain1,Rec,mB,72.2772277227723,0.95,cons
0,domain3,domain1,Rec,mB,73.2673267326733,0.95,cons
0,domain3,domain1,Rec,mB,76.2376237623762,0.95,cons
0,domain3,domain1,Rec,mB,77.2277227722772,0.95,cons
0,domain3,domain1,Rec,mB,77.7227722772277,0.95,cons
0,domain3,domain1,Rec,mB,79.2079207920792,0.95,cons
0,domain3,domain1,Rec,mB,81.1881188118812,0.95,cons
0,domain3,domain1,Rec,mB,82.1782178217822,0.95,cons
0,domain3,domain1,Rec,mB,85.1485148514852,0.95,cons
0,domain3,domain1,Rec,mB,87.1287128712871,0.95,cons
0,domain3,domain1,Rec,mB,90.0990099009901,0.95,cons
0,domain3,domain1,Rec,mB,92.5742574257426,0.95,cons
0,domain3,domain1,Rec,mB,93.0693069306931,0.95,cons
0,domain3,domain1,Rec,mB,93.5643564356436,0.95,cons
0,domain3,domain1,Rec,mB,96.5346534653465,0.95,cons
0,domain3,domain1,Rec,mB,99.009900990099,0.95,cons
0,domain3,domain2,Rec,m8,146.530612244898,0.95,pos
0,domain3,domain2,Par,mB,113.877551020408,0.95,cons
0,domain3,domain2,Par,mB,117.142857142857,0.95,cons
0,domain3,domain2,Par,mB,120,0.95,cons
0,domain3,domain2,Par,mB,121.632653061224,0.95,cons
0,domain3,domain2,Par,mB,122.040816326531,0.95,cons
0,domain3,domain2,Par,mB,122.448979591837,0.95,cons
