Strain/Toxin,Host_sp,Host_order,Ref,Type,Rank
BT_Cry1Aa,Choristoneura fumiferana,Lepidoptera,10.1111/j.1574-6968.2002.tb11378.x,Toxin,3
BT_Cry1Aa,Choristoneura fumiferana,Lepidoptera,10.1128/aem.57.6.1650-1655.1991,Toxin,3
BT_Cry1Aa,Choristoneura occidentalis,Lepidoptera,10.1128/aem.57.6.1650-1655.1991,Toxin,3
BT_Cry1Aa,Choristoneura pinus,Lepidoptera,10.1128/aem.57.6.1650-1655.1991,Toxin,3
BT_Cry1Aa,Choristoneura rosaceana,Lepidoptera,10.1128/aem.57.6.1650-1655.1991,Toxin,3
BT_Cry1Aa,Chrysodeixis includens,Lepidoptera,10.1590/S0100-204X2014000200001,Toxin,3
BT_Cry1Aa,Conopomorpha cramerella,Lepidoptera,10.1002/ps.927,Toxin,3
BT_Cry1Aa,Cydia pomonella,Lepidoptera,10.1002/ps.6157,Toxin,3
BT_Cry1Aa,Cydia pomonella,Lepidoptera,10.1016/j.jip.2006.01.004,Toxin,3
BT_Cry1Aa,Diatraea flavipennella,Lepidoptera,10.7717/peerj.2866,Toxin,3
BT_Cry1Aa,Diatraea saccharalis,Lepidoptera,10.1016/j.jip.2008.10.003,Toxin,3
BT_Cry1Aa,Elasmopalpus lignosellus,Lepidoptera,10.7717/peerj.2866,Toxin,3
BT_Cry1Aa,Ephestia kuehniella,Lepidoptera,10.1016/j.biocontrol.2005.06.009,Toxin,3
BT_Cry1Aa,Epinotia aporema,Lepidoptera,10.1016/j.jip.2006.09.002,Toxin,3
BT_Cry1Aa,Grapholita molesta,Lepidoptera,10.1016/j.jip.2016.09.006,Toxin,3
BT_Cry1Aa,Helicoverpa armigera,Lepidoptera,10.1016/j.jip.2014.06.005,Toxin,3
BT_Cry1Aa,Helicoverpa armigera,Lepidoptera,10.1111/j.1472-765X.2005.01712.x,Toxin,3
BT_Cry1Aa,Helicoverpa zea,Lepidoptera,10.1006/pest.2000.2491,Toxin,3
BT_Cry1Aa,Heliothis virescens,Lepidoptera,10.1371/journal.pone.0107196,Toxin,3
BT_Cry1Aa,Heliothis virescens,Lepidoptera,10.1603/029.102.0636,Toxin,3
BT_Cry1Aa,Lymantria dispar,Lepidoptera,10.1128/aem.57.6.1650-1655.1991,Toxin,3
BT_Cry1Aa,Lymantria dispar,Lepidoptera,10.1128/AEM.62.2.583-586.1996,Toxin,3
BT_Cry1Aa,Malacosoma disstria,Lepidoptera,10.1128/aem.57.6.1650-1655.1991,Toxin,3
BT_Cry1Aa,Manduca sexta,Lepidoptera,10.1128/aem.56.5.1378-1385.1990,Toxin,3
BT_Cry1Aa,Orgyia leucostigma,Lepidoptera,10.1128/aem.57.6.1650-1655.1991,Toxin,3
BT_Cry1Aa,Ostrinia nubilalis,Lepidoptera,10.1128/aem.59.6.1828-1837.1993,Toxin,3
BT_Cry1Aa,Pectinophora gossypiella,Lepidoptera,10.1006/pest.2000.2491,Toxin,3
BT_Cry1Aa,Sesamia inferens,Lepidoptera,10.1016/j.jip.2010.05.002,Toxin,3
BT_Cry1Aa,Spodoptera exigua,Lepidoptera,10.1002/ps.6157,Toxin,3
BT_Cry1Aa,Spodoptera exigua,Lepidoptera,10.1016/j.jip.2007.11.001,Toxin,3
BT_Cry1Aa,Spodoptera exigua,Lepidoptera,10.1111/j.1472-765X.2005.01712.x,Toxin,3
BT_Cry1Aa,Spodoptera frugiperda,Lepidoptera,10.1371/journal.pone.0119544,Toxin,3
BT_Cry1Aa,Trichoplusia ni,Lepidoptera,10.1128/aem.56.8.2480-2483.1990,Toxin,3
BT_Cry1Aa,Argyrotaenia citrana,Lepidoptera,10.1016/j.jip.2009.02.009,Toxin,3
BT_Cry1Aa,Choristoneura pinus pinus,Lepidoptera,10.1016/j.jip.2009.02.009,Toxin,3
BT_Cry1Aa,Cnaphalocrocis medinalis,Lepidoptera,10.1016/j.jip.2009.02.009,Toxin,3
BT_Cry1Aa,Earias vitella,Lepidoptera,10.1016/j.jip.2009.02.009,Toxin,3
BT_Cry1Aa,Hyphantria cunea,Lepidoptera,10.1016/j.jip.2009.02.009,Toxin,3
BT_Cry1Aa,Mamestra brassicae,Lepidoptera,10.1016/j.jip.2009.02.009,Toxin,3
BT_Cry1Aa,Marasmia patnalis,Lepidoptera,10.1016/j.jip.2009.02.009,Toxin,3
BT_Cry1Aa,Maruca vitrata,Lepidoptera,10.1016/j.jip.2009.02.009,Toxin,3
BT_Cry1Aa,Pandemis pyrusana,Lepidoptera,10.1016/j.jip.2009.02.009,Toxin,3
BT_Cry1Aa,Pieris brassicae,Lepidoptera,10.1016/j.jip.2009.02.009,Toxin,3
BT_Cry1Aa,Platynota stultana,Lepidoptera,10.1016/j.jip.2009.02.009,Toxin,3
BT_Cry1Aa,Scirpophaga incertulas,Lepidoptera,10.1016/j.jip.2009.02.009,Toxin,3
BT_Cry1Aa,Spodoptera litura,Lepidoptera,10.1016/j.jip.2009.02.009,Toxin,3
BT_Cry1Aa,Thaumetopoea pityocampa,Lepidoptera,10.1016/j.jip.2009.02.009,Toxin,3
BT_Cry1Ab16,Plutella xylostella,Lepidoptera,PMID:16276913,Toxin,4
BT_Cry1Ab17,Plutella xylostella,Lepidoptera,10.1023/B:BILE.0000045652.00137.1f,Toxin,4
BT_Cry1Ab18,Manduca sexta,Lepidoptera,10.3389/fmicb.2021.758314,Toxin,4
BT_Cry1Ab18,Spodoptera frugiperda,Lepidoptera,10.3389/fmicb.2021.758314,Toxin,4
BT_Cry1Ab1,Helicoverpa armigera,Lepidoptera,10.1016/j.jip.2005.04.003,Toxin,4
BT_Cry1Ab1,Helicoverpa armigera,Lepidoptera,10.1016/s0022-2011(02)00035-6,Toxin,4
BT_Cry1Ab1,Helicoverpa punctigera,Lepidoptera,10.1016/s0022-2011(02)00035-6,Toxin,4
BT_Cry1Ab21,Trichoplusia ni,Lepidoptera,10.1128/AEM.01955-07,Toxin,4
BT_Cry1Ab26,Helicoverpa armigera,Lepidoptera,10.1007/s12033-012-9627-3,Toxin,4
BT_Cry1Ab2,Lymantria dispar,Lepidoptera,10.1006/bbrc.1996.1770,Toxin,4
BT_Cry1Ab2,Manduca sexta,Lepidoptera,10.1006/bbrc.1996.1770,Toxin,4
BT_Cry1Ab34,Diatraea grandiosella,Lepidoptera,US8461421B2,Toxin,4
BT_Cry1Ab34,Ostrinia nubilalis,Lepidoptera,US8461421B2,Toxin,4
BT_Cry1Ab34,Plutella xylostella,Lepidoptera,US8461421B2,Toxin,4
BT_Cry1Ab5,Helicoverpa armigera,Lepidoptera,10.1128/aem.62.1.80-86.1996,Toxin,4
BT_Cry1Ab5,Ostrinia nubilalis,Lepidoptera,10.1128/aem.62.1.80-86.1996,Toxin,4
BT_Cry1Ab6,Choristoneura fumiferana,Lepidoptera,10.1128/AEM.63.10.4132-4134.1997,Toxin,4
BT_Cry1Ab6,Lymantria dispar,Lepidoptera,10.1128/AEM.63.10.4132-4134.1997,Toxin,4
BT_Cry1Ab7,Aedes aegypti,Diptera,10.1016/0378-1119(87)90055-2,Toxin,4
BT_Cry1Ab7,Pieris brassicae,Lepidoptera,10.1016/0378-1119(87)90055-2,Toxin,4
BT_Cry1Ab,Acyrthosiphon pisum,Hemiptera,10.1128/aem.00686-09,Toxin,3
BT_Cry1Ab,Acyrthosiphon pisum,Hemiptera,10.1128/AEM.00686-09,Toxin,3
BT_Cry1Ab,Aedes aegypti,Diptera,10.1111/j.1432-1033.1986.tb09612.x,Toxin,3
BT_Cry1Ab,Anticarsia gemmatalis,Lepidoptera,10.1590/S0100-204X2014000200001,Toxin,3
BT_Cry1Ab,Bombyx mori,Lepidoptera,10.1271/bbb.57.200,Toxin,3
BT_Cry1Ab,Cacyreus marshalli,Lepidoptera,10.1128/AEM.68.8.4090-4094.2002,Toxin,3
BT_Cry1Ab,Chilo partellus,Lepidoptera,10.1111/j.1472-765X.2010.02856.x,Toxin,3
BT_Cry1Ab,Chilo suppressalis,Lepidoptera,10.1016/j.jip.2010.05.002,Toxin,3
BT_Cry1Ab,Chilo suppressalis,Lepidoptera,10.1016/j.jip.2016.03.010,Toxin,3
BT_Cry1Ab,Choristoneura fumiferana,Lepidoptera,10.1111/j.1574-6968.2002.tb11378.x,Toxin,3
BT_Cry1Ab,Choristoneura fumiferana,Lepidoptera,10.1128/aem.57.6.1650-1655.1991,Toxin,3
BT_Cry1Ab,Choristoneura occidentalis,Lepidoptera,10.1128/aem.57.6.1650-1655.1991,Toxin,3
BT_Cry1Ab,Choristoneura pinus,Lepidoptera,10.1128/aem.57.6.1650-1655.1991,Toxin,3
BT_Cry1Ab,Choristoneura rosaceana,Lepidoptera,10.1128/aem.57.6.1650-1655.1991,Toxin,3
BT_Cry1Ab,Chrysodeixis includens,Lepidoptera,10.1590/S0100-204X2014000200001,Toxin,3
BT_Cry1Ab,Conogethes punctiferalis,Lepidoptera,10.1016/j.jip.2020.107507 ,Toxin,3
BT_Cry1Ab,Conopomorpha cramerella,Lepidoptera,10.1002/ps.927,Toxin,3
BT_Cry1Ab,Cydia pomonella,Lepidoptera,10.1016/j.jip.2006.01.004,Toxin,3
BT_Cry1Ab,Diaphorina citri,Hemiptera,10.3390/toxins11030173,Toxin,3
BT_Cry1Ab,Earias insulana,Lepidoptera,10.1128/AEM.72.1.437-442.2006,Toxin,3
BT_Cry1Ab,Ephestia kuehniella,Lepidoptera,10.1111/jen.12241,Toxin,3
BT_Cry1Ab,Epinotia aporema,Lepidoptera,10.1016/j.jip.2006.09.002,Toxin,3
BT_Cry1Ab,Helicoverpa armigera,Lepidoptera,10.1016/j.jip.2014.06.005,Toxin,3
BT_Cry1Ab,Helicoverpa punctigera,Lepidoptera,10.1016/s0022-2011(02)00035-6,Toxin,3
BT_Cry1Ab,Helicoverpa zea,Lepidoptera,10.1006/pest.2000.2491,Toxin,3
BT_Cry1Ab,Lobesia botrana,Lepidoptera,10.1128/AEM.01511-06,Toxin,3
BT_Cry1Ab,Lobesia botrana,Lepidoptera,10.1128/AEM.02861-05,Toxin,3
BT_Cry1Ab,Lymantria dispar,Lepidoptera,10.1128/aem.57.6.1650-1655.1991,Toxin,3
BT_Cry1Ab,Lymantria dispar,Lepidoptera,10.1128/AEM.62.2.583-586.1996,Toxin,3
BT_Cry1Ab,Malacosoma disstria,Lepidoptera,10.1128/aem.57.6.1650-1655.1991,Toxin,3
BT_Cry1Ab,Mythimna separata,Lepidoptera,10.3390/toxins10110454,Toxin,3
BT_Cry1Ab,Mythimna separata,Lepidoptera,doi.org/10.3390/toxins10110454,Toxin,3
BT_Cry1Ab,Nilaparvata lugens,Hemiptera,10.1016/j.jip.2013.09.001,Toxin,3
BT_Cry1Ab,Orgyia leucostigma,Lepidoptera,10.1128/aem.57.6.1650-1655.1991,Toxin,3
BT_Cry1Ab,Ostrinia nubilalis,Lepidoptera,10.1093/jisesa/iex003,Toxin,3
BT_Cry1Ab,Ostrinia nubilalis,Lepidoptera,10.1111/j.1439-0418.2010.01601.x,Toxin,3
BT_Cry1Ab,Ostrinia nubilalis,Lepidoptera,10.1128/aem.59.6.1828-1837.1993,Toxin,3
BT_Cry1Ab,Ostrinia nubilalis,Lepidoptera,10.1371/journal.pone.0068164,Toxin,3
BT_Cry1Ab,Pectinophora gossypiella,Lepidoptera,10.1006/pest.2000.2491,Toxin,3
BT_Cry1Ab,Pectinophora gossypiella,Lepidoptera,10.1371/journal.pone.0080496,Toxin,3
BT_Cry1Ab,Plodia interpunctella,Lepidoptera,10.1111/jen.12241,Toxin,3
BT_Cry1Ab,Plutella xylostella,Lepidoptera,10.1007/s002849900438,Toxin,3
BT_Cry1Ab,Plutella xylostella,Lepidoptera,Biopesticides International 3 (1):58-70,Toxin,3
BT_Cry1Ab,Sesamia inferens,Lepidoptera,10.1016/j.jip.2010.05.002,Toxin,3
BT_Cry1Ab,Spodoptera exigua,Lepidoptera,10.1002/ps.1798,Toxin,3
BT_Cry1Ab,Spodoptera exigua,Lepidoptera,10.1016/j.jip.2007.11.001,Toxin,3
BT_Cry1Ab,Spodoptera frugiperda,Lepidoptera,10.1002/ps.6170,Toxin,3
BT_Cry1Ab,Spodoptera frugiperda,Lepidoptera,10.1007/s12010-019-02952-z,Toxin,3
BT_Cry1Ab,Spodoptera frugiperda,Lepidoptera,10.1016/j.jip.2014.08.009,Toxin,3
BT_Cry1Ab,Spodoptera frugiperda,Lepidoptera,10.1093/jee/tox311,Toxin,3
BT_Cry1Ab,Spodoptera frugiperda,Lepidoptera,10.1371/journal.pone.0068164,Toxin,3
BT_Cry1Ab,Spodoptera frugiperda,Lepidoptera,10.1371/journal.pone.0119544,Toxin,3
BT_Cry1Ab,Spodoptera frugiperda,Lepidoptera,10.3390/toxins12060375,Toxin,3
BT_Cry1Ab,Trichoplusia ni,Lepidoptera,10.1128/AEM.01955-07,Toxin,3
BT_Cry1Ab,Argyrotaenia citrana,Lepidoptera,10.1016/j.jip.2009.02.009,Toxin,3
BT_Cry1Ab,Busseola fusca,Lepidoptera,10.1016/j.jip.2009.02.009,Toxin,3
BT_Cry1Ab,Choristoneura pinus pinus,Lepidoptera,10.1016/j.jip.2009.02.009,Toxin,3
BT_Cry1Ab,Cnaphalocrocis medinalis,Lepidoptera,10.1016/j.jip.2009.02.009,Toxin,3
BT_Cry1Ab,Danaus plexippus,Lepidoptera,10.1016/j.jip.2009.02.009,Toxin,3
BT_Cry1Ab,Diatraea grandiosella,Lepidoptera,10.1016/j.jip.2009.02.009,Toxin,3
BT_Cry1Ab,Diatraea saccharalis,Lepidoptera,10.1016/j.jip.2009.02.009,Toxin,3
BT_Cry1Ab,Earias vitella,Lepidoptera,10.1016/j.jip.2009.02.009,Toxin,3
BT_Cry1Ab,Elasmopalpus lignosellus,Lepidoptera,10.1016/j.jip.2009.02.009,Toxin,3
BT_Cry1Ab,Eldana saccharina,Lepidoptera,10.1016/j.jip.2009.02.009,Toxin,3
BT_Cry1Ab,Heliothis virescens,Lepidoptera,10.1016/j.jip.2009.02.009,Toxin,3
BT_Cry1Ab,Hyphantria cunea,Lepidoptera,10.1016/j.jip.2009.02.009,Toxin,3
BT_Cry1Ab,Mamestra brassicae,Lepidoptera,10.1016/j.jip.2009.02.009,Toxin,3
BT_Cry1Ab,Mamestra configurata,Lepidoptera,10.1016/j.jip.2009.02.009,Toxin,3
BT_Cry1Ab,Manduca sexta,Lepidoptera,10.1016/j.jip.2009.02.009,Toxin,3
BT_Cry1Ab,Marasmia patnalis,Lepidoptera,10.1016/j.jip.2009.02.009,Toxin,3
BT_Cry1Ab,Maruca vitrata,Lepidoptera,10.1016/j.jip.2009.02.009,Toxin,3
BT_Cry1Ab,Ostrinia furnacalis,Lepidoptera,10.1016/j.jip.2009.02.009,Toxin,3
BT_Cry1Ab,Pandemis pyrusana,Lepidoptera,10.1016/j.jip.2009.02.009,Toxin,3
BT_Cry1Ab,Pieris brassicae,Lepidoptera,10.1016/j.jip.2009.02.009,Toxin,3
BT_Cry1Ab,Platynota stultana,Lepidoptera,10.1016/j.jip.2009.02.009,Toxin,3
BT_Cry1Ab,Scirpophaga incertulas,Lepidoptera,10.1016/j.jip.2009.02.009,Toxin,3
BT_Cry1Ab,Spodoptera litura,Lepidoptera,10.1016/j.jip.2009.02.009,Toxin,3
BT_Cry1Ab,Thaumetopoea pityocampa,Lepidoptera,10.1016/j.jip.2009.02.009,Toxin,3
BT_Cry1Ac17,Spodoptera litura,Lepidoptera,10.1007/s00284-008-9244-3,Toxin,4
BT_Cry1Ac1,Glossina morsitans,Diptera,10.1007/s002849900154,Toxin,4
