EEM19417.1	CM000746.1	Chromosome
EEM19403.1	CM000746.1	Chromosome
EEM19308.1	CM000746.1	Chromosome
EEM19090.1	CM000746.1	Chromosome
EEM32076.1	CM000748.1	Chromosome
EEM31561.1	CM000748.1	Chromosome
EEM38018.1	CM000749.1	Chromosome
EEM44869.1	CM000750.1	Chromosome
EEM44456.1	CM000750.1	Chromosome
EEM44315.1	CM000750.1	Chromosome
EEM44256.1	CM000750.1	Chromosome
EEM50110.1	CM000751.1	Chromosome
EEM55953.1	CM000752.1	Chromosome
EEM62552.1	CM000753.1	Chromosome
EEM62204.1	CM000753.1	Chromosome
EEM68667.1	CM000754.1	Chromosome
EEM68355.1	CM000754.1	Chromosome
EEM86551.1	CM000757.1	Chromosome
EEM93055.1	CM000758.1	Chromosome
EEM92924.1	CM000758.1	Chromosome
EEM92927.1	CM000758.1	Chromosome
EEM92934.1	CM000758.1	Chromosome
EEM92941.1	CM000758.1	Chromosome
EEM92947.1	CM000758.1	Chromosome
EEM92952.1	CM000758.1	Chromosome
EEM92953.1	CM000758.1	Chromosome
EEM92570.1	CM000758.1	Chromosome
EEM99282.1	CM000759.1	Chromosome
EEM99034.1	CM000759.1	Chromosome
ADY24756.1	CP002509.1	Plasmid
ADY24870.1	CP002509.1	Plasmid
ADY25012.1	CP002510.1	Plasmid
AEA19203.1	CP001908.1	Plasmid
AEA19603.1	CP001910.1	Plasmid
AEA19608.1	CP001910.1	Plasmid
AEA19609.1	CP001910.1	Plasmid
AEA19615.1	CP001910.1	Plasmid
AFQ19845.1	CP003755.1	Plasmid
AFQ30496.1	CP003766.1	Plasmid
AFQ30505.1	CP003766.1	Plasmid
AFQ30558.1	CP003766.1	Plasmid
AFQ30560.1	CP003766.1	Plasmid
AFU17214.1	CP003691.1	Plasmid
AFU17297.1	CP003692.1	Plasmid
AFU17323.1	CP003692.1	Plasmid
AFU17333.1	CP003692.1	Plasmid
AFU17344.1	CP003692.1	Plasmid
AFU17354.1	CP003692.1	Plasmid
AFU16949.1	CP003690.1	Plasmid
AFU17015.1	CP003690.1	Plasmid
AFU17024.1	CP003690.1	Plasmid
AGE81486.1	CP004070.1	Plasmid
AGG04729.1	CP004134.1	Plasmid
AGG05318.1	CP004136.1	Plasmid
AGG05325.1	CP004136.1	Plasmid
AGG05326.1	CP004136.1	Plasmid
AGG05333.1	CP004136.1	Plasmid
AGG04467.1	CP004131.1	Plasmid
AHA70031.1	CP005935.1	Chromosome
AHZ54986.1	CP004861.1	Plasmid
AHZ54991.1	CP004861.1	Plasmid
AHZ54992.1	CP004861.1	Plasmid
AHZ54998.1	CP004861.1	Plasmid
AHZ55258.1	CP004868.1	Plasmid
AIE37434.1	CP004876.1	Plasmid
AIE37439.1	CP004876.1	Plasmid
AIE37440.1	CP004876.1	Plasmid
AIE37446.1	CP004876.1	Plasmid
AIE37011.1	CP004873.1	Plasmid
AIE37211.1	CP004875.1	Plasmid
AIM34735.1	CP007615.1	Plasmid
AIM34741.1	CP007615.1	Plasmid
AIM34742.1	CP007615.1	Plasmid
AIM34751.1	CP007615.1	Plasmid
AIM34400.1	CP007613.1	Plasmid
AIM34414.1	CP007614.1	Plasmid
ALL21863.1	CP013000.1	Chromosome
ALL25005.1	CP013000.1	Chromosome
ALL21966.1	CP013000.1	Chromosome
ALL21973.1	CP013000.1	Chromosome
ALL21979.1	CP013000.1	Chromosome
ALL21984.1	CP013000.1	Chromosome
ALL11724.1	CP013001.1	Plasmid
ALL11871.1	CP013001.1	Plasmid
ALL11828.1	CP013001.1	Plasmid
ALL11835.1	CP013001.1	Plasmid
ALL11841.1	CP013001.1	Plasmid
ALL11846.1	CP013001.1	Plasmid
AJA23643.1	CP010092.1	Plasmid
AJA23501.1	CP010091.1	Plasmid
AJA23506.1	CP010091.1	Plasmid
AJA23507.1	CP010091.1	Plasmid
AJA23511.1	CP010091.1	Plasmid
AJA23086.1	CP010090.1	Plasmid
AJA23088.1	CP010090.1	Plasmid
AJK38183.1	CP009999.1	Plasmid
AJK37985.1	CP009999.1	Plasmid
AJK38154.1	CP009999.1	Plasmid
AJK37978.1	CP009999.1	Plasmid
AJK38083.1	CP009999.1	Plasmid
AJK38600.1	CP010003.1	Plasmid
AKJ62760.1	CP011350.1	Plasmid
AKJ62786.1	CP011350.1	Plasmid
AKJ62789.1	CP011350.1	Plasmid
AKJ62790.1	CP011350.1	Plasmid
AKJ62795.1	CP011350.1	Plasmid
AKR12899.1	CP012101.1	Plasmid
AKR12909.1	CP012101.1	Plasmid
AKR12911.1	CP012101.1	Plasmid
AKR12921.1	CP012101.1	Plasmid
AKR13091.1	CP012101.1	Plasmid
AKR13097.1	CP012101.1	Plasmid
AKR13106.1	CP012101.1	Plasmid
AKR13252.1	CP012103.1	Plasmid
AKR13360.1	CP012108.1	Plasmid
AKR38906.1	CP010111.1	Plasmid
AKR38911.1	CP010111.1	Plasmid
AKR38949.1	CP010111.1	Plasmid
ALL62164.1	CP013056.1	Plasmid
ALL62189.1	CP013056.1	Plasmid
BAR87544.1	AP014866.1	Plasmid
BAR87552.1	AP014866.1	Plasmid
BAR87554.1	AP014866.1	Plasmid
AMR06122.1	CP014284.1	Plasmid
AMR06151.1	CP014284.1	Plasmid
AMR88428.1	CP014852.1	Plasmid
AMR88562.1	CP014853.1	Plasmid
AMR88563.1	CP014853.1	Plasmid
AMR88565.1	CP014853.1	Plasmid
AMR88570.1	CP014853.1	Plasmid
AMR88574.1	CP014853.1	Plasmid
AMR88576.1	CP014853.1	Plasmid
AMR88578.1	CP014853.1	Plasmid
AMR88604.1	CP014853.1	Plasmid
AND11132.1	CP015177.1	Plasmid
AND11141.1	CP015177.1	Plasmid
ANS46158.1	CP015350.1	Chromosome
ANS46780.1	CP015350.1	Chromosome
ANS50148.1	CP015350.1	Chromosome
AOM14729.1	CP015255.1	Plasmid
AQY42679.1	CP020005.1	Plasmid
AQY42680.1	CP020005.1	Plasmid
AQY42687.1	CP020005.1	Plasmid
ARP61632.1	CP021063.1	Plasmid
ARP61819.1	CP021065.1	Plasmid
ARV91367.1	CP017574.1	Plasmid
ARV91400.1	CP017574.1	Plasmid
AST05277.1	CP020756.1	Plasmid
AXY11181.1	CP024772.1	Plasmid
AXY11292.1	CP024772.1	Plasmid
AXY11305.1	CP024772.1	Plasmid
AXY11484.1	CP024774.1	Plasmid
AYF84829.1	CP032609.1	Plasmid
AYF84849.1	CP032609.1	Plasmid
AYF84850.1	CP032609.1	Plasmid
AYF84876.1	CP032609.1	Plasmid
AZR80780.1	CP021440.1	Plasmid
AZR80678.1	CP021438.1	Plasmid
AZR80706.1	CP021438.1	Plasmid
AZR80772.1	CP021439.1	Plasmid
AZR80774.1	CP021439.1	Plasmid
QBP15688.1	CP037456.1	Plasmid
QBP15695.1	CP037456.1	Plasmid
QBP15696.1	CP037456.1	Plasmid
QBP15732.1	CP037456.1	Plasmid
QBM59570.1	CP037887.1	Plasmid
QBM59577.1	CP037887.1	Plasmid
QBM59578.1	CP037887.1	Plasmid
QBM59613.1	CP037887.1	Plasmid
