ID	Coord	Identity	Flank_num	Reg_type	Reg_domain	Flank_class
0	0	0	Break1	100_nucl_left	domain2	Zone3
0	1	1.0	Break1	100_nucl_left	domain2	Zone3
0	2	0	Break1	100_nucl_left	domain2	Zone3
0	3	1.0	Break1	100_nucl_left	domain2	Zone3
0	4	0	Break1	100_nucl_left	domain2	Zone3
0	5	1.0	Break1	100_nucl_left	domain2	Zone3
0	6	1.0	Break1	100_nucl_left	domain2	Zone3
0	7	1.0	Break1	100_nucl_left	domain2	Zone3
0	8	0	Break1	100_nucl_left	domain2	Zone3
0	9	0	Break1	100_nucl_left	domain2	Zone3
0	10	1.0	Break1	100_nucl_left	domain2	Zone3
0	11	1.0	Break1	100_nucl_left	domain2	Zone3
0	12	1.0	Break1	100_nucl_left	domain2	Zone3
0	13	1.0	Break1	100_nucl_left	domain2	Zone3
0	14	1.0	Break1	100_nucl_left	domain2	Zone3
0	15	1.0	Break1	100_nucl_left	domain2	Zone3
0	16	0	Break1	100_nucl_left	domain2	Zone3
0	17	1.0	Break1	100_nucl_left	domain2	Zone3
0	18	0	Break1	100_nucl_left	domain2	Zone3
0	19	1.0	Break1	100_nucl_left	domain2	Zone3
0	20	1.0	Break1	100_nucl_left	domain2	Zone3
0	21	0	Break1	100_nucl_left	domain2	Zone3
0	22	0	Break1	100_nucl_left	domain2	Zone3
0	23	1.0	Break1	100_nucl_left	domain2	Zone3
0	24	1.0	Break1	100_nucl_left	domain2	Zone3
0	25	0	Break1	100_nucl_left	domain2	Zone3
0	26	0	Break1	100_nucl_left	domain2	Zone3
0	27	0	Break1	100_nucl_left	domain2	Zone3
0	28	0	Break1	100_nucl_left	domain2	Zone3
0	29	1.0	Break1	100_nucl_left	domain2	Zone3
0	30	0	Break1	100_nucl_left	domain2	Zone3
0	31	0	Break1	100_nucl_left	domain2	Zone3
0	32	1.0	Break1	100_nucl_left	domain2	Zone3
0	33	0	Break1	100_nucl_left	domain2	Zone3
0	34	0	Break1	100_nucl_left	domain2	Zone3
0	35	0	Break1	100_nucl_left	domain2	Zone3
0	36	0	Break1	100_nucl_left	domain2	Zone3
0	37	0	Break1	100_nucl_left	domain2	Zone3
0	38	0	Break1	100_nucl_left	domain2	Zone3
0	39	0	Break1	100_nucl_left	domain2	Zone3
0	40	0	Break1	100_nucl_left	domain2	Zone3
0	41	0	Break1	100_nucl_left	domain2	Zone3
0	42	0	Break1	100_nucl_left	domain2	Zone3
0	43	0	Break1	100_nucl_left	domain2	Zone3
0	44	0	Break1	100_nucl_left	domain2	Zone3
0	45	0	Break1	100_nucl_left	domain2	Zone3
0	46	0	Break1	100_nucl_left	domain2	Zone3
0	47	0	Break1	100_nucl_left	domain2	Zone3
0	48	0	Break1	100_nucl_left	domain2	Zone3
0	49	0	Break1	100_nucl_left	domain2	Zone3
0	50	0	Break1	100_nucl_left	domain2	Zone3
0	51	0	Break1	100_nucl_left	domain2	Zone3
0	52	0	Break1	100_nucl_left	domain2	Zone3
0	53	0	Break1	100_nucl_left	domain2	Zone3
0	54	0	Break1	100_nucl_left	domain2	Zone3
0	55	0	Break1	100_nucl_left	domain2	Zone3
0	56	0	Break1	100_nucl_left	domain2	Zone3
0	57	1.0	Break1	100_nucl_left	domain2	Zone3
0	58	1.0	Break1	100_nucl_left	domain2	Zone3
0	59	0	Break1	100_nucl_left	domain2	Zone3
0	60	1.0	Break1	100_nucl_left	domain2	Zone3
0	61	1.0	Break1	100_nucl_left	domain2	Zone3
0	62	0	Break1	100_nucl_left	domain2	Zone3
0	63	0	Break1	100_nucl_left	domain2	Zone3
0	64	1.0	Break1	100_nucl_left	domain2	Zone3
0	65	1.0	Break1	100_nucl_left	domain2	Zone3
0	66	1.0	Break1	100_nucl_left	domain2	Zone3
0	67	1.0	Break1	100_nucl_left	domain2	Zone3
0	68	1.0	Break1	100_nucl_left	domain2	Zone3
0	69	0	Break1	100_nucl_left	domain2	Zone3
0	70	0	Break1	break_flank	domain2	Zone3
0	71	1.0	Break1	break_flank	domain2	Zone3
0	72	1.0	Break1	break_flank	domain2	Zone3
0	73	1.0	Break1	break_flank	domain2	Zone3
0	74	1.0	Break1	break_flank	domain2	Zone3
0	75	1.0	Break1	break_flank	domain2	Zone3
0	76	1.0	Break1	break_flank	domain2	Zone3
0	77	0	Break1	break_flank	linker23	Zone3
0	78	1.0	Break1	break_flank	linker23	Zone3
0	79	1.0	Break1	break_flank	linker23	Zone3
0	80	1.0	Break1	break_flank	linker23	Zone3
0	81	0	Break1	break_flank	linker23	Zone3
0	82	1.0	Break1	break_flank	linker23	Zone3
0	83	0	Break1	break_flank	linker23	Zone3
0	84	1.0	Break1	break_flank	linker23	Zone3
