,,,Breakpoint Positions
,,In Alignment, ,In Recombinant Sequence, ,Relative to BT_Cry11Ba1,, , , , , , Detection Methods
Recombination Event Number, Number In .RDP File, Begin, End,Begin, End,Begin, End, Recombinant Sequence(s), Minor Parental Sequence(s), Major Parental Sequence(s), RDP, GENECONV, Bootscan, Maxchi, Chimaera, SiSscan,PhylPro, LARD, 3Seq
 1 ,1, 3606, 5085, 1258, 1714, 1231, 1732,BT_Cry8Ja1,BT_Cry8Ca1,BT_Cry8Ea2,NS, 6.66117351324255E-96, 1.48587956252364E-84, 3.23685858365237E-32, 4.061027019737E-32, 8.3654654169582E-42,NS,NS, 9.07191544108343E-10,

 2 ,2, 5082, 1127, 1678, 489, 1732, 447,^BT_Cry1Ac39,NOV_Cry1Ea10_93.2_AAX86871.1,BT_Cry1Ah2, 5.95851808318833E-79, 1.09794817657844E-85, 2.2038880119495E-84, 4.549227745878E-25, 5.80030650763142E-25, 4.96414398508211E-33,NS,NS, 6.69632611551971E-106,
 2,,,,,,,,BT_Cry1Aa10[P],BT_Cry1Aa10,
 2,,,,,,,,BT_Cry1Ab12[P],BT_Cry1Ag1,
 2,,,,,,,,BT_Cry1Ab2[P],NOV_Cry1Ab32_92.7_AAK14337.1,
 2,,,,,,,,BT_Cry1Ad1[P],,
 2,,,,,,,,BT_Cry1Ag1[P],,
 2,,,,,,,,BT_Cry1Ai1,,
 2,,,,,,,,NOV_Cry1Ab12_91.4_AAK14338.1,,
 2,,,,,,,,NOV_Cry1Ab32_92.7_AAK14337.1[P],,
 2,,,,,,,,NOV_Cry1Ac23_90.7_CAQ03747.1,,

 3 ,3, 3863, 5062, 1292, 1636, 1370, 1719,NOV_Cry1Da1_84.8_ABK35074.1,BT_Cry1A-like,BT_Cry1Da1, 2.0600798408291E-66, 5.00736297597416E-78, 1.24655652372955E-60, 4.35410126836734E-23, 9.92759300491805E-10, 6.49211131030817E-29,NS,NS, 9.07191544108343E-10,
 3,,,,,,,,,NOV_Cry1Ad2_87.7_AIW52617.1,BT_Cry1Db1
 3,,,,,,,,,,NOV_Cry1Da1_83.2_AIW52615.1

 4 ,4, 3942, 5071, 1391, 1711, 1406, 1728,^NOV_Cry7Ba1_84.3_AFI42043.1,BT_Cry7Ac1,BT_Cry7Ba1, 5.46278649732271E-70, 1.56635601892342E-73, 6.98685690036877E-72, 2.84469529368927E-20, 9.30317122328899E-21, 2.14916735407866E-30,NS,NS, 1.81438308821669E-09,

 5 ,6, 3726, 5087, 1304, 1699, 1319, 1732,^BT_Cry1Bb1,BT_Cry1Ja1,BT_Cry1Bd1, 3.62097223861279E-71, 1.87806574515828E-68, 2.06000026166083E-36, 1.41476046786544E-26, 2.11885362706521E-23, 1.23128433052638E-24,NS,NS, 1.81438308821669E-09,
 5,,,,,,,,,,BT_Cry1Bh1
 5,,,,,,,,,,BT_Cry1Bj1

 6 ,7, 3644, 5082, 1276, 1699, 1237, 1732,BT_Cry1Bj1,BT_Cry1Ah2,BT_Cry1Be1, 7.02839897405829E-70, 3.19243140658139E-64, 1.54321755872025E-52, 3.20021996016801E-23, 2.27576137891379E-25, 1.12288149729021E-23,NS,NS, 9.07191544108343E-10,
 6,,,,,,,,BT_Cry1Bd1,,BT_Cry1Bf1
 6,,,,,,,,BT_Cry1Bh1,,BT_Cry1Bg1

 7 ,8, 3750, 5080, 1369, 1732, 1339, 1732,^BT_Cry24Ca1,BT_Cry40Ba1,BT_Cry24Da1, 3.75861913117583E-66, 7.92442414327564E-60, 6.14686095837974E-40, 8.60872980021028E-21, 1.75205416040113E-21, 1.39770168567835E-22,NS,NS, 1.81438308821669E-09,

 8 ,9, 3589, 5081, 1243, 1672, 1231, 1732,^BT_Cry1Ah2,Unknown (NOV_Cry1Ad2_87.7_AIW52617.1),BT_Cry1A-like, 1.54242440468008E-65, 2.01389443365693E-65, 1.98482471750143E-33, 1.31089804007295E-28, 1.57380985715416E-29, 6.66275558358923E-37,NS,NS, 4.22318215202948E-29,
 8,,,,,,,,BT_Cry1Ac39[P],,
 8,,,,,,,,NOV_Cry1Ac23_90.7_CAQ03747.1[P],,

 9 ,10, 3842, 5072, 1370, 1774, 1361, 1729,^BT_Cry71Aa1,BT_Cry72Aa1,NOV_Cry71Aa1_65.9_PEU78325.1, 1.59387043178865E-65, 9.84763927122977E-63, 2.62578358083488E-34, 1.31490557340962E-22, 6.1790881439591E-24, 3.71744907883823E-31,NS,NS, 1.81438308821669E-09,

 10 ,11, 3738, 5082, 1253, 1636, 1331, 1732,^BT_Cry1Ja1,BT_Cry1Fb1,BT_Cry1Jd1, 5.61255251689414E-60, 5.48805453968244E-63, 3.65382898627229E-59, 1.64885990809133E-23, 1.90626928842516E-24, 5.47990764545525E-35,NS,NS, 9.07191544108343E-10,
 10,,,,,,,,,,NOV_Cry1Jc1_99.1_AAS93799.1

 11 ,12, 3687, 4825, 1300, 1643, 1280, 1634,^NOV_Cry7Ca1_86.8_AGM39664.1,BT_Cry7Ha1,NOV_Cry7Ca1_99.7_ABR67863.2, 1.22367959461725E-59, 1.07325842518317E-55, 5.69632249774644E-58, 2.81661265609247E-22, 7.27151653631058E-21, 2.79236293501136E-24,NS,NS, 1.38880405186517E-79,

 12 ,13, 3652, 4851, 1284, 1620, 1245, 1634,^BT_Cry1Bf1,BT_Cry1Eb1,BT_Cry1Ba1, 2.41691845092023E-58, 2.17308582630512E-56, 5.41778674636455E-55, 3.32111038952762E-17, 3.16381876280418E-19, 2.56093753866555E-25,NS,NS, 9.07191544108343E-10,
 12,,,,,,,,BT_Cry1Be1,,
 12,,,,,,,,BT_Cry1Bg1,,

 13 ,14, 3749, 5072, 1336, 1705, 1339, 1729,^NOV_Cry30Ca1_66.6_BAD00052.1,Unknown (BT_Cry50Ba1),BT_Cry30Fa1, 2.59715993854095E-56, 1.83848597993588E-47, 1.12691489507087E-48, 3.86428174182562E-19, 1.55247702938579E-20, 7.6149026950729E-30,NS,NS, 1.86275110626188E-03,
 13,,,,,,,,,Unknown(NOV_Cry4Ba1_63.7_AJW76684.1),BT_Cry30Aa1
 13,,,,,,,,,,BT_Cry30Ca1
 13,,,,,,,,,,BT_Cry30Ea1

 14 ,15, 3771, 5080, 1285, 1714, 1339, 1732,^NOV_Cry4Ba1_63.7_AJW76684.1,BT_Cry50Ba1,NOV_Cry4Ba1_63.8_OUB35623.1, 2.07402718023579E-54, 2.77450737125285E-51, 1.08720934916908E-53, 1.22333269920303E-18, 2.38798771677053E-19, 1.77129568818998E-23,NS,NS, 9.07191544108343E-10,

 15 ,16, 3538, 4787, 1224, 1557, 1203, 1629,^BT_Cry1Cb1,BT_Cry1Eb1,BT_Cry1Ca11, 2.52746788663148E-54, 2.11460056464002E-47, 1.76166660494603E-51, 1.13539178008517E-18, 1.12162175825703E-19, 7.92029747618931E-21,NS,NS, 9.07191544108343E-10,

 16 ,17, 3785, 67, 1336, 19, 1339, 1,^NOV_Cry30Ga2_64.5_ARJ25665.1,Unknown (BT_Cry50Ba1),BT_Cry30Ga1, 4.20928998383152E-52, 3.58236802307954E-49, 1.72059183218238E-39, 1.63835815173337E-19, 3.93632234036098E-21, 5.94561734126365E-27,NS,NS, 8.16876698354932E-62,
 16,,,,,,,,,Unknown(BT_Cry50Aa1),BT_Cry30Da1
 16,,,,,,,,,,BT_Cry30Db1

 17 ,18, 3746, 5082, 1312, 1693, 1339, 1732,^BT_Cry9Eb1,BT_Cry9Da1,BT_Cry9Ea10, 7.79077093135E-45, 1.71214889638686E-51, 8.9743142269037E-51, 2.37157647571534E-21, 1.41265245710347E-03, 5.93206955593593E-27,NS,NS, 9.07191544108343E-10,

 18 ,19, 3606, 5087, 1231, 1660, 1231, 1732,^BT_Cry1Fa1,BT_Cry1Ig1,BT_Cry1Fb1, 2.09675279194536E-51, 7.46595165422675E-40, 3.4665879395838E-45, 3.94585786935962E-16, 5.75032458121024E-18, 8.555539207223E-19,NS,NS, 1.81438308821669E-09,

